Time,south_north,west_east,XLAT,XLONG,XTIME,T2
0,3,15,28.638226,-89.01987,2024-08-25,302.03174
0,3,16,28.6077,-88.71634,2024-08-25,301.98743
0,3,17,28.576187,-88.413086,2024-08-25,301.97684
0,3,18,28.543655,-88.11014,2024-08-25,301.98206
0,3,19,28.510132,-87.807434,2024-08-25,301.8848
0,3,20,28.475613,-87.505066,2024-08-25,301.78873
0,3,21,28.44009,-87.20294,2024-08-25,301.83435
0,3,22,28.403568,-86.901184,2024-08-25,301.9235
0,3,23,28.366058,-86.59973,2024-08-25,301.83054
0,3,24,28.32756,-86.298584,2024-08-25,301.9154
0,3,25,28.28807,-85.99777,2024-08-25,301.74503
0,3,26,28.247593,-85.697296,2024-08-25,301.7846
0,3,27,28.206135,-85.39719,2024-08-25,301.86075
0,3,28,28.1637,-85.09741,2024-08-25,301.75888
0,3,29,28.120277,-84.798035,2024-08-25,301.7035
0,3,30,28.075882,-84.49899,2024-08-25,301.56512
0,3,31,28.030502,-84.20035,2024-08-25,301.45163
0,3,32,27.984161,-83.9021,2024-08-25,301.52396
0,3,33,27.936855,-83.60425,2024-08-25,301.81604
0,3,34,27.888573,-83.30676,2024-08-25,302.19928
0,3,35,27.839333,-83.009705,2024-08-25,302.4259
0,3,36,27.789139,-82.71307,2024-08-25,303.81818
0,3,37,27.737965,-82.41687,2024-08-25,302.6914
0,3,38,27.685852,-82.12109,2024-08-25,301.54028
0,3,39,27.632782,-81.825745,2024-08-25,300.92203
0,3,40,27.578754,-81.53085,2024-08-25,300.55972
0,3,41,27.5238,-81.23642,2024-08-25,300.03333
0,3,42,27.467888,-80.942444,2024-08-25,300.39444
0,3,43,27.411034,-80.648926,2024-08-25,300.39807
0,3,44,27.353256,-80.355896,2024-08-25,300.78476
0,3,45,27.294529,-80.063324,2024-08-25,301.72202
0,3,46,27.23489,-79.77124,2024-08-25,301.86453
0,3,47,27.174313,-79.479645,2024-08-25,301.79114
0,3,48,27.1128,-79.18857,2024-08-25,301.71924
0,3,49,27.050377,-78.89798,2024-08-25,301.74957
0,3,50,26.987041,-78.60791,2024-08-25,301.82135
0,3,51,26.922783,-78.31836,2024-08-25,302.02557
0,3,52,26.857632,-78.02936,2024-08-25,302.0824
0,3,53,26.791553,-77.740845,2024-08-25,302.08527
0,3,54,26.724571,-77.45288,2024-08-25,301.95154
0,3,55,26.656708,-77.16547,2024-08-25,301.85226
0,3,56,26.587925,-76.8786,2024-08-25,301.40894
0,3,57,26.518272,-76.592285,2024-08-25,301.47366
0,3,58,26.447723,-76.30655,2024-08-25,301.48132
0,3,59,26.376278,-76.02136,2024-08-25,301.4826
0,3,60,26.303967,-75.736755,2024-08-25,301.39087
0,3,61,26.230774,-75.4527,2024-08-25,301.68082
0,3,62,26.156715,-75.16925,2024-08-25,301.6947
0,3,63,26.081776,-74.88635,2024-08-25,301.65872
0,3,64,26.005966,-74.604095,2024-08-25,301.7331
0,3,65,25.929306,-74.32239,2024-08-25,301.71237
